step,time_s,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,roll,pitch,lon_flap,lat_flap,pos_err_y,norm_state_0,norm_state_1,norm_state_2,norm_state_3,norm_state_4,norm_state_5,norm_state_6,norm_state_7,norm_state_8,norm_state_9,norm_state_10,collective,lateral_cyclic,longitudinal_cyclic,tail_rotor_cyclic
37,0.6333334,-0.006543422,-0.10326724,0.5980439,0.044845812,0.060756452,0.0012220782,-0.0068941475,-0.0070741004,-0.006229313,-0.0098280385,0.05391628,-0.0065433285,-0.10290171,0.5356562,0.08945189,0.120918356,0.0024441516,-0.01148974,-0.01178962,-0.012457982,-0.019653546,0.053864095,0.9999843,0.059656337,-0.045665164,0.9994233
38,0.65000004,-0.0044131605,-0.027680008,0.58108383,0.03802079,0.049621925,0.0024580534,-0.0068587367,-0.006434731,-0.006738999,-0.0041280002,0.05351779,-0.0044131316,-0.02767294,0.52345276,0.075895354,0.0989193,0.0049160672,-0.011430729,-0.010724141,-0.013477182,-0.008255813,0.053466752,0.9994267,0.269234,0.032263283,0.99376726
39,0.6666667,-0.002001401,0.049064852,0.56177306,0.035154123,0.034943417,0.003795156,-0.006799036,-0.0058448496,-0.0028054104,0.011299832,0.054390453,-0.0020013985,0.049025517,0.50929177,0.07019263,0.06977328,0.0075901663,-0.011331242,-0.009741107,-0.005610762,0.022595817,0.054336883,0.97629637,-0.08280389,0.004589466,0.9398447
40,0.68333334,-0.00039491057,0.12579924,0.5389091,0.04300123,0.020650117,0.004351787,-0.0067283674,-0.0051258313,-0.0016052034,0.0025236094,0.056533113,-0.00039491054,0.1251398,0.49216172,0.08579105,0.041276768,0.008703354,-0.011213475,-0.008542844,-0.0032103958,0.005047176,0.056472965,0.28029442,0.22178291,0.040941257,0.45052344
41,0.7,0.0010196771,0.19976126,0.51925147,0.044753734,0.009262067,0.00467028,-0.006651238,-0.0043789013,0.0012132358,0.013117838,0.059900142,0.0010196768,0.19714586,0.47712207,0.0892692,0.018522017,0.009340288,-0.011084942,-0.0072980393,0.002426467,0.026229657,0.059828606,-0.92757887,-0.079536,0.015226021,-0.4136391
42,0.71666664,0.0018815268,0.19036,0.5076887,0.053863354,0.0061847945,0.004429559,-0.0065777954,-0.0034804945,0.0017405986,0.0037711654,0.06310196,0.0018815246,0.18809348,0.4681424,0.10731191,0.012368958,0.008858887,-0.010962552,-0.005800759,0.0034811832,0.007542188,0.063018344,-0.90567535,0.018249333,-0.018727377,-0.40175453
43,0.7333333,0.002629768,0.03619706,0.51500994,0.056482214,0.036516435,0.0040842015,-0.006511537,-0.00253514,0.00024057808,0.002649316,0.06372671,0.002629762,0.03618126,0.4738395,0.112486355,0.0729033,0.008168221,-0.010852136,-0.004225208,0.00048115614,0.005298583,0.06364058,0.9747275,-0.28308284,-0.11248861,0.97458124
44,0.74999994,0.0031066537,-0.11531791,0.522408,0.058322016,0.06618123,0.0040364685,-0.0064465064,-0.0015559586,-0.0059190495,-0.014631722,0.061818,0.0031066437,-0.11480944,0.47955638,0.11611788,0.13159485,0.008072762,-0.010743763,-0.0025932584,-0.011837546,-0.029255094,0.061739374,0.9999795,0.12095429,-0.02728378,0.9998124
45,0.7666666,0.0051159766,-0.041527092,0.50691366,0.0481611,0.052211944,0.005210884,-0.0063606533,-0.0007477002,-0.00547458,-0.004247306,0.06113167,0.005115932,-0.04150324,0.467537,0.096025415,0.10404598,0.010421391,-0.010600692,-0.0012461663,-0.010948722,-0.008494408,0.061055634,0.9993089,0.24302821,0.027162366,0.99775517
46,0.78333324,0.0071656406,0.03525146,0.48856077,0.045211583,0.03750507,0.0062971096,-0.0062559303,0.0000097696775,-0.00217338,0.009617056,0.061718356,0.007165518,0.035236865,0.45307338,0.09017753,0.074869774,0.012593553,-0.010426172,0.000016282795,-0.0043467325,0.01923174,0.06164011,0.969992,-0.054758772,0.014570397,0.9763638
47,0.7999999,0.008542454,0.111985,0.4669766,0.0518901,0.022918077,0.0067283385,-0.006143626,0.00087697274,-0.00058524124,0.0027522696,0.06357703,0.008542246,0.11151921,0.43575323,0.103409216,0.04580408,0.013455865,-0.010239018,0.0014616201,-0.0011704819,0.005504484,0.06349151,0.14156461,0.20343392,0.043326296,0.7221171
48,0.81666654,0.009640932,0.18520154,0.44752917,0.053801395,0.008616459,0.006844458,-0.006029369,0.0017745361,0.0020811278,0.012120788,0.06664946,0.009640633,0.18311274,0.41986588,0.10718942,0.017231211,0.013688061,-0.010048609,0.0029575515,0.0041622315,0.024236828,0.06655095,-0.94557875,-0.06943757,0.023265872,-0.13846712
