index,episode_time,steps,noise,episode_reward,avg_critic_loss,avg_actor_loss,evaluation
2487,9.600015,288,0.001,113.301895,2.2065506,22.543577,0
2488,26.966599,809,0.001,270.20148,2.2671096,22.522144,0
2489,11.166702,335,0.001,163.63747,1.7380961,22.811695,0
2490,13.200063,396,0.001,182.50868,2.261855,23.256018,0
2491,13.166729,395,0.001,202.31483,2.10468,23.375595,0
2492,29.599892,888,0.001,454.00833,1.9956865,23.833126,0
2493,12.366718,371,0.001,191.47057,2.1078072,24.207071,0
2494,15.000087,450,0.001,252.6336,2.0777743,24.379906,0
2495,14.100075,423,0.001,236.12819,1.9500296,24.501234,0
2496,12.833391,385,0.001,206.36266,1.8990078,24.206163,0
2497,16.300095,489,0.001,237.01051,2.1118083,24.10606,0
2498,30.033218,901,0.001,460.81122,2.0131068,24.51796,0
2499,12.800057,384,0.001,202.8582,2.116907,24.637522,0
2500,13.400065,402,0,218.26135,0,0,1
2501,17.033417,511,0.001,254.85085,1.7475005,25.218645,0
2502,19.533379,586,0.001,321.4265,1.8581039,25.410843,0
2503,14.033407,421,0.001,209.8332,1.8905611,25.484917,0
2504,11.833378,355,0.001,182.04233,1.8866283,25.475962,0
2505,14.033407,421,0.001,223.96567,2.1796243,25.548506,0
2506,15.46676,464,0.001,216.23926,2.0940797,26.034796,0
2507,14.23341,427,0.001,214.05344,1.9049761,26.028591,0
2508,15.533427,466,0.001,240.55054,1.8735673,25.816584,0
2509,25.299957,759,0.001,356.931,2.1171637,26.12176,0
2510,30.033218,901,0.001,554.97876,1.915031,26.412075,0
2511,30.033218,901,0.001,623.08026,2.001584,26.581219,0
2512,14.200076,426,0.001,204.55884,1.9297516,27.216208,0
2513,22.799995,684,0.001,261.88968,1.9293034,27.055735,0
2514,21.933342,658,0.001,303.6332,1.9266351,27.045368,0
2515,30.033218,901,0.001,591.06476,1.8862214,27.326412,0
2516,30.033218,901,0.001,594.2647,1.8309783,27.683567,0
2517,23.466652,704,0.001,273.70865,1.8319328,27.805677,0
2518,30.033218,901,0.001,578.6618,1.8807564,27.669401,0
2519,27.46659,824,0.001,424.21548,1.8616441,27.976492,0
2520,11.700043,351,0.001,130.54674,1.6394149,28.331383,0
2521,24.899963,747,0.001,404.43848,1.7839913,27.98815,0
2522,9.933352,298,0.001,130.94485,1.8576021,27.677757,0
2523,9.500013,285,0.001,86.91692,2.0635865,28.10994,0
2524,19.500046,585,0.001,201.39693,2.1024399,28.269007,0
2525,12.200049,366,0,172.94644,0,0,1
2526,14.066741,422,0.001,213.91956,1.996884,28.044878,0
2527,24.03331,721,0.001,418.78412,2.1266644,28.043495,0
2528,12.3333845,370,0.001,181.14842,1.8983086,28.825872,0
2529,9.966686,299,0.001,119.971214,2.098948,27.870325,0
2530,30.033218,901,0.001,475.15155,1.9246244,28.09087,0
2531,11.50004,345,0.001,135.7295,2.2986212,28.451847,0
2532,11.633375,349,0.001,143.53711,1.8702152,28.059881,0
2533,20.600029,618,0.001,292.10233,2.0095534,27.685884,0
2534,20.333366,610,0.001,247.71523,2.0469108,27.789997,0
2535,19.266716,578,0.001,278.54407,1.9908532,27.741615,0
2536,16.200096,486,0.001,267.97998,2.0987272,27.160172,0
2537,9.266677,278,0.001,75.623985,1.9916729,27.482018,0
2538,16.300095,489,0.001,252.72339,1.8983873,27.216906,0
2539,13.533401,406,0.001,164.97528,2.1261947,26.653927,0
2540,30.033218,901,0.001,460.32285,2.0262485,26.547571,0
2541,17.333412,520,0.001,279.86597,2.1365302,26.857727,0
2542,12.400052,372,0.001,155.95016,2.028058,26.807968,0
2543,8.099995,243,0.001,61.881542,2.1170902,27.015373,0
2544,10.666696,320,0.001,181.35333,1.9396013,26.574839,0
2545,30.033218,901,0.001,477.83398,1.7518902,27.002361,0
2546,24.599968,738,0.001,278.1978,2.0892422,26.469193,0
2547,17.90007,537,0.001,190.26364,1.8495036,26.8618,0
2548,17.033417,511,0.001,247.13014,2.087008,26.724806,0
2549,14.800084,444,0.001,186.4544,1.9020267,26.241163,0
